Campaign,Ad Group,Keyword,Criterion Type
GOOG_Search_Brand_PMB_2026,,balikpapan,Campaign Negative Broad
GOOG_Search_Brand_PMB_2026,,madura,Campaign Negative Broad
GOOG_Search_Brand_PMB_2026,,jambi,Campaign Negative Broad
GOOG_Search_Brand_PMB_2026,,bandar lampung,Campaign Negative Phrase
GOOG_Search_Brand_PMB_2026,,batik tulis,Campaign Negative Phrase
GOOG_Search_Brand_PMB_2026,,kursus batik,Campaign Negative Phrase
GOOG_Search_Brand_PMB_2026,,pelatihan batik,Campaign Negative Phrase
GOOG_Search_Brand_PMB_2026,,membatik,Campaign Negative Broad
GOOG_Search_Brand_PMB_2026,,kain,Campaign Negative Broad
GOOG_Search_Brand_PMB_2026,,motif,Campaign Negative Broad
GOOG_Search_Brand_PMB_2026,,grosir,Campaign Negative Broad
GOOG_Search_Brand_PMB_2026,,konveksi,Campaign Negative Broad
GOOG_Search_Brand_PMB_2026,,seragam,Campaign Negative Broad
GOOG_Search_Brand_PMB_2026,,butik,Campaign Negative Broad
GOOG_Search_Brand_PMB_2026,,lowongan,Campaign Negative Broad
GOOG_Search_Brand_PMB_2026,,loker,Campaign Negative Broad
GOOG_Search_Brand_PMB_2026,,karir,Campaign Negative Broad
GOOG_Search_Brand_PMB_2026,,siakad,Campaign Negative Broad
GOOG_Search_Brand_PMB_2026,,elearning,Campaign Negative Broad
GOOG_Search_Brand_PMB_2026,,e-learning,Campaign Negative Broad
GOOG_Search_Brand_PMB_2026,,jurnal,Campaign Negative Broad
GOOG_Search_Brand_PMB_2026,,repository,Campaign Negative Broad
GOOG_Search_Brand_PMB_2026,,logo,Campaign Negative Broad
GOOG_Search_Brand_PMB_2026,,wisuda,Campaign Negative Broad
GOOG_Search_Brand_PMB_2026,,dosen,Campaign Negative Broad
GOOG_Search_Brand_PMB_2026,,perpustakaan,Campaign Negative Broad
GOOG_Search_Brand_PMB_2026,,skripsi,Campaign Negative Broad
GOOG_Search_Brand_PMB_2026,,sejarah,Campaign Negative Broad
GOOG_Search_NonBrand_PMB_2026,,batik,Campaign Negative Broad
GOOG_Search_NonBrand_PMB_2026,,kain,Campaign Negative Broad
GOOG_Search_NonBrand_PMB_2026,,motif,Campaign Negative Broad
GOOG_Search_NonBrand_PMB_2026,,seragam,Campaign Negative Broad
GOOG_Search_NonBrand_PMB_2026,,butik,Campaign Negative Broad
GOOG_Search_NonBrand_PMB_2026,,konveksi,Campaign Negative Broad
GOOG_Search_NonBrand_PMB_2026,,kursus menjahit,Campaign Negative Phrase
GOOG_Search_NonBrand_PMB_2026,,gratis,Campaign Negative Broad
GOOG_Search_NonBrand_PMB_2026,,negeri,Campaign Negative Broad
GOOG_Search_NonBrand_PMB_2026,,ptn,Campaign Negative Broad
GOOG_Search_NonBrand_PMB_2026,,uns,Campaign Negative Broad
GOOG_Search_NonBrand_PMB_2026,,ums,Campaign Negative Broad
GOOG_Search_NonBrand_PMB_2026,,snbp,Campaign Negative Broad
GOOG_Search_NonBrand_PMB_2026,,snbt,Campaign Negative Broad
GOOG_Search_NonBrand_PMB_2026,,kedinasan,Campaign Negative Broad
GOOG_Search_NonBrand_PMB_2026,,ipdn,Campaign Negative Broad
GOOG_Search_NonBrand_PMB_2026,,lowongan,Campaign Negative Broad
GOOG_Search_NonBrand_PMB_2026,,loker,Campaign Negative Broad
GOOG_Search_NonBrand_PMB_2026,,gaji,Campaign Negative Broad
GOOG_Search_NonBrand_PMB_2026,,beasiswa luar negeri,Campaign Negative Phrase
GOOG_Search_NonBrand_PMB_2026,,s3,Campaign Negative Broad
GOOG_Search_NonBrand_PMB_2026,,doktor,Campaign Negative Broad
GOOG_Search_NonBrand_PMB_2026,,pdf,Campaign Negative Broad
GOOG_Search_NonBrand_PMB_2026,,contoh,Campaign Negative Broad
GOOG_Search_NonBrand_PMB_2026,,makalah,Campaign Negative Broad
GOOG_Search_NonBrand_PMB_2026,,jurnal,Campaign Negative Broad
GOOG_Search_NonBrand_PMB_2026,,skripsi,Campaign Negative Broad
GOOG_Search_NonBrand_PMB_2026,,proposal,Campaign Negative Broad
GOOG_Search_NonBrand_PMB_2026,,arti,Campaign Negative Broad
GOOG_Search_NonBrand_PMB_2026,,adalah,Campaign Negative Broad
GOOG_Search_NonBrand_PMB_2026,,ranking,Campaign Negative Broad
GOOG_Search_NonBrand_PMB_2026,,peringkat,Campaign Negative Broad
GOOG_Search_NonBrand_PMB_2026,,jakarta,Campaign Negative Broad
GOOG_Search_NonBrand_PMB_2026,,yogyakarta,Campaign Negative Broad
GOOG_Search_NonBrand_PMB_2026,,semarang,Campaign Negative Broad
GOOG_Search_NonBrand_PMB_2026,,bandung,Campaign Negative Broad
GOOG_Search_NonBrand_PMB_2026,,surabaya,Campaign Negative Broad
