Campaign,Ad Group,Link Text,Description Line 1,Description Line 2,Final URL,Status
GOOG_Search_Brand_PMB_2026,,Simulasi Biaya,Hitung biaya semester 1,Cuma butuh 1 menit,https://www.daftaruniba.site/#simulasi-biaya,Enabled
GOOG_Search_Brand_PMB_2026,,Program RPL 2 Tahun,Konversi pengalaman kerja,jadi SKS resmi,https://www.daftaruniba.site/rpl,Enabled
GOOG_Search_Brand_PMB_2026,,Daftar Beasiswa,"KIP Kuliah, Tahfiz, Prestasi",Potongan SPP hingga 100%,https://www.daftaruniba.site/#beasiswa,Enabled
GOOG_Search_Brand_PMB_2026,,Cara Daftar,"4 langkah, formulir online",Verifikasi 1 hari kerja,https://www.daftaruniba.site/#cara-daftar,Enabled
GOOG_Search_Brand_PMB_2026,,Program Studi,11 prodi S1 & 2 prodi S2,Semua terakreditasi BAN-PT,https://www.daftaruniba.site/#program-studi,Enabled
GOOG_Search_NonBrand_PMB_2026,,Simulasi Biaya,Hitung biaya semester 1,Cuma butuh 1 menit,https://www.daftaruniba.site/#simulasi-biaya,Enabled
GOOG_Search_NonBrand_PMB_2026,,Program RPL 2 Tahun,Konversi pengalaman kerja,jadi SKS resmi,https://www.daftaruniba.site/rpl,Enabled
GOOG_Search_NonBrand_PMB_2026,,Daftar Beasiswa,"KIP Kuliah, Tahfiz, Prestasi",Potongan SPP hingga 100%,https://www.daftaruniba.site/#beasiswa,Enabled
GOOG_Search_NonBrand_PMB_2026,,Cara Daftar,"4 langkah, formulir online",Verifikasi 1 hari kerja,https://www.daftaruniba.site/#cara-daftar,Enabled
GOOG_Search_NonBrand_PMB_2026,,Program Studi,11 prodi S1 & 2 prodi S2,Semua terakreditasi BAN-PT,https://www.daftaruniba.site/#program-studi,Enabled
