Campaign,Ad Group,Asset Type,Callout Text,Header,Values,Status
GOOG_Search_Brand_PMB_2026,,Callout,Gratis Uang Gedung,,,Enabled
GOOG_Search_Brand_PMB_2026,,Callout,Bisa Dicicil,,,Enabled
GOOG_Search_Brand_PMB_2026,,Callout,Kelas Malam Tersedia,,,Enabled
GOOG_Search_Brand_PMB_2026,,Callout,Terakreditasi BAN-PT,,,Enabled
GOOG_Search_Brand_PMB_2026,,Callout,One Day Service,,,Enabled
GOOG_Search_Brand_PMB_2026,,Callout,10.000+ Alumni,,,Enabled
GOOG_Search_Brand_PMB_2026,,Callout,Bisa Tanpa Skripsi,,,Enabled
GOOG_Search_Brand_PMB_2026,,Callout,Beasiswa KIP Kuliah,,,Enabled
GOOG_Search_NonBrand_PMB_2026,,Callout,Gratis Uang Gedung,,,Enabled
GOOG_Search_NonBrand_PMB_2026,,Callout,Bisa Dicicil,,,Enabled
GOOG_Search_NonBrand_PMB_2026,,Callout,Kelas Malam Tersedia,,,Enabled
GOOG_Search_NonBrand_PMB_2026,,Callout,Terakreditasi BAN-PT,,,Enabled
GOOG_Search_NonBrand_PMB_2026,,Callout,One Day Service,,,Enabled
GOOG_Search_NonBrand_PMB_2026,,Callout,10.000+ Alumni,,,Enabled
GOOG_Search_NonBrand_PMB_2026,,Callout,Bisa Tanpa Skripsi,,,Enabled
GOOG_Search_NonBrand_PMB_2026,,Callout,Beasiswa KIP Kuliah,,,Enabled
GOOG_Search_Brand_PMB_2026,,Structured Snippet,,Degree programs,"Manajemen;Akuntansi;Ilmu Hukum;Informatika;Teknik Industri;Teknik Sipil;Agribisnis;Agroteknologi;Peternakan",Enabled
GOOG_Search_NonBrand_PMB_2026,,Structured Snippet,,Degree programs,"Manajemen;Akuntansi;Ilmu Hukum;Informatika;Teknik Industri;Teknik Sipil;Agribisnis;Agroteknologi;Peternakan",Enabled
