Campaign,Ad Group,Callout Text,Status
GOOG_Search_Brand_PMB_2026,,Gratis Uang Gedung,Enabled
GOOG_Search_Brand_PMB_2026,,Bisa Dicicil,Enabled
GOOG_Search_Brand_PMB_2026,,Kelas Malam Tersedia,Enabled
GOOG_Search_Brand_PMB_2026,,Terakreditasi BAN-PT,Enabled
GOOG_Search_Brand_PMB_2026,,One Day Service,Enabled
GOOG_Search_Brand_PMB_2026,,10.000+ Alumni,Enabled
GOOG_Search_Brand_PMB_2026,,Bisa Tanpa Skripsi,Enabled
GOOG_Search_Brand_PMB_2026,,Beasiswa KIP Kuliah,Enabled
GOOG_Search_NonBrand_PMB_2026,,Gratis Uang Gedung,Enabled
GOOG_Search_NonBrand_PMB_2026,,Bisa Dicicil,Enabled
GOOG_Search_NonBrand_PMB_2026,,Kelas Malam Tersedia,Enabled
GOOG_Search_NonBrand_PMB_2026,,Terakreditasi BAN-PT,Enabled
GOOG_Search_NonBrand_PMB_2026,,One Day Service,Enabled
GOOG_Search_NonBrand_PMB_2026,,10.000+ Alumni,Enabled
GOOG_Search_NonBrand_PMB_2026,,Bisa Tanpa Skripsi,Enabled
GOOG_Search_NonBrand_PMB_2026,,Beasiswa KIP Kuliah,Enabled
