Campaign,Ad Group,Keyword,Criterion Type,Max CPC,Final URL,Status
GOOG_Search_NonBrand_PMB_2026,Kampus Swasta Solo,universitas swasta di solo,Exact,3500,https://www.daftaruniba.site/,Enabled
GOOG_Search_NonBrand_PMB_2026,Kampus Swasta Solo,kampus swasta surakarta,Exact,3500,https://www.daftaruniba.site/,Enabled
GOOG_Search_NonBrand_PMB_2026,Kampus Swasta Solo,universitas islam di solo,Exact,3500,https://www.daftaruniba.site/,Enabled
GOOG_Search_NonBrand_PMB_2026,Kampus Swasta Solo,kuliah murah di solo,Exact,3000,https://www.daftaruniba.site/,Enabled
GOOG_Search_NonBrand_PMB_2026,Kampus Swasta Solo,kuliah bisa dicicil solo,Exact,3500,https://www.daftaruniba.site/,Enabled
GOOG_Search_NonBrand_PMB_2026,Kampus Swasta Solo,kuliah tanpa uang gedung,Phrase,3500,https://www.daftaruniba.site/,Enabled
GOOG_Search_NonBrand_PMB_2026,Kampus Swasta Solo,kuliah murah,Exact,2500,https://www.daftaruniba.site/,Enabled
GOOG_Search_NonBrand_PMB_2026,Kampus Swasta Solo,kuliah murah solo,Exact,3000,https://www.daftaruniba.site/,Enabled
GOOG_Search_NonBrand_PMB_2026,Kampus Swasta Solo,kuliah murah surakarta,Exact,3000,https://www.daftaruniba.site/,Enabled
GOOG_Search_NonBrand_PMB_2026,Kampus Swasta Solo,kampus murah di solo,Exact,3000,https://www.daftaruniba.site/,Enabled
GOOG_Search_NonBrand_PMB_2026,Kampus Swasta Solo,kuliah swasta murah,Exact,2800,https://www.daftaruniba.site/,Enabled
GOOG_Search_NonBrand_PMB_2026,Kampus Swasta Solo,kuliah terjangkau solo,Exact,3000,https://www.daftaruniba.site/,Enabled
GOOG_Search_NonBrand_PMB_2026,Kampus Swasta Solo,kuliah bisa dicicil,Exact,3200,https://www.daftaruniba.site/,Enabled
GOOG_Search_NonBrand_PMB_2026,Kampus Swasta Solo,kampus swasta termurah,Phrase,3000,https://www.daftaruniba.site/,Enabled
GOOG_Search_NonBrand_PMB_2026,Kampus Swasta Solo,biaya kuliah paling murah,Phrase,2800,https://www.daftaruniba.site/,Enabled
