Campaign,Ad Group,Keyword,Criterion Type
GOOG_Search_NonBrand_PMB_2026,,kursus,Campaign Negative Broad
GOOG_Search_NonBrand_PMB_2026,,bimbel,Campaign Negative Broad
GOOG_Search_NonBrand_PMB_2026,,sma,Campaign Negative Broad
GOOG_Search_NonBrand_PMB_2026,,smk,Campaign Negative Broad
GOOG_Search_NonBrand_PMB_2026,,smp,Campaign Negative Broad
GOOG_Search_NonBrand_PMB_2026,,madrasah,Campaign Negative Broad
GOOG_Search_NonBrand_PMB_2026,,pesantren,Campaign Negative Broad
GOOG_Search_NonBrand_PMB_2026,,akademi,Campaign Negative Broad
GOOG_Search_NonBrand_PMB_2026,,politeknik,Campaign Negative Broad
GOOG_Search_NonBrand_PMB_2026,,ijazah palsu,Campaign Negative Phrase
GOOG_Search_NonBrand_PMB_2026,,kelas jauh,Campaign Negative Phrase
